#{"t_start": 1723821577.4061685, "env_id": "Cobrinha"}
r,l,t
18085.0,153,42.022689
8536.0,83,42.306288
11005.0,78,42.563231
9770.0,160,43.10625
13715.0,121,43.523229
-559.0,2,43.52423
7936.0,185,44.208254
6036.0,154,44.758243
-604.0,4,44.772231
13483.0,96,45.096246
-592.0,13,45.138233
11090.0,80,45.409272
-577.0,6,45.434278
-615.0,12,45.476248
-560.0,4,45.495245
13236.0,108,45.869255
25100.0,198,46.534229
10791.0,106,61.410276
10623.0,124,61.841261
13446.0,93,62.155782
9076.0,81,62.431764
6552.0,77,62.691763
13395.0,109,63.078782
16226.0,73,63.330762
4003.0,71,63.579765
11236.0,73,63.831763
6684.0,57,64.024764
8197.0,92,64.341776
10784.0,79,64.615781
8219.0,93,64.931577
16025.0,109,65.302567
17674.0,171,65.884579
-556.0,10,65.922581
14973.0,160,66.467617
20287.0,161,67.017567
-726.0,18,67.073585
8534.0,68,67.307582
10976.0,98,67.642613
17944.0,137,68.107583
11038.0,130,68.554567
9876.0,163,69.098934
8462.0,87,69.39689
-1065.0,41,69.532999
4242.0,53,69.720147
8492.0,83,69.995874
8723.0,51,70.168874
13525.0,81,70.438863
13310.0,98,70.773019
-579.0,12,70.815036
20163.0,168,71.38503
8610.0,67,71.619067
38972.0,318,72.706019
22848.0,173,73.294019
16038.0,117,73.700017
15155.0,231,74.511025
8751.0,58,74.714017
14636.0,197,75.386018
10643.0,111,75.766019
17372.0,225,76.524018
17306.0,182,77.156018
25432.0,170,77.726033
24639.0,220,78.475018
10886.0,91,99.551359
17933.0,155,100.078851
10953.0,89,100.377835
11001.0,70,100.608842
18314.0,113,101.00585
-705.0,8,101.032853
10942.0,79,101.293889
-576.0,4,101.306846
8106.0,95,101.631849
18332.0,117,102.02689
25471.0,174,102.625834
15873.0,111,103.008508
20554.0,140,103.48251
12962.0,124,103.90051
20626.0,132,104.375511
12829.0,118,104.769527
8341.0,81,105.043511
22844.0,156,105.571524
10608.0,114,105.960234
1263.0,49,106.124225
10795.0,131,106.569218
13205.0,143,107.057267
-567.0,4,107.071218
8339.0,89,107.421218
17554.0,171,108.005273
16189.0,130,108.440229
30392.0,199,109.124225
-558.0,3,109.137234
37694.0,236,109.94227
-524.0,1,109.943229
-510.0,1,109.94423
-772.0,30,110.051221
23096.0,154,110.569229
10502.0,118,110.976218
8680.0,61,111.182229
12892.0,133,111.634229
20584.0,152,112.246233
1604.0,44,112.424269
15788.0,104,112.85322
15027.0,163,113.487266
13464.0,96,113.812219
27267.0,228,114.591218
44388.0,304,115.639291
-690.0,9,115.667218
7618.0,134,116.123219
13244.0,109,116.490229
15743.0,117,138.273971
8451.0,82,138.559977
12879.0,135,139.014979
-523.0,14,139.066977
11112.0,59,139.269982
-593.0,5,139.284023
8454.0,80,139.556008
13388.0,75,139.813976
13101.0,116,140.20701
13050.0,116,140.598009
8253.0,92,140.917011
54031.0,358,142.136962
1859.0,30,142.24196
22158.0,218,142.982977
6358.0,68,143.215962
13532.0,75,143.487011
25458.0,170,144.157965
